City,Reporting Period,Total emissions (metric tonnes CO2e),GHG/Capita, Population ,Year Reported,Methodology/Protocol
City of Alameda,2015,421487, 5.549 ,75961,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Amsterdam,2015,4471000, 5.437 ,822272,2016,"Local standard based on electricity, gas, district heat en local transportation."
City of Anchorage,2015,3557393, 11.958 ,297483,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Ann Arbor,2015,1420000, 12.057 ,117770,2017,International Emissions Analysis Protocol (ICLEI)
"City of Arlington, VA",2015,2480700, 11.448 ,216700,2016,"Transportation, fuel oil use, and solid waste emissions data are the most recent available, from a 2012 inventory. Electricity and natural gas consumption in the community reflect actual 2015 data based on utility reporting."
City of Athens,2015,5053422, 7.610 ,664046,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Atlanta,2015,7580504, 16.839 ,450182,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Atlanta,2015,9139286, 20.594 ,443775,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boston,2015,6462495, 9.653 ,669469,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boulder,2015,1701551, 15.878 ,107167,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Brisbane, CA",2015,148025, 32.158 ,4603,2017,International Emissions Analysis Protocol (ICLEI)
City of Buenos Aires,2015,13113673, 4.537 ,2890151,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Buenos Aires,2015,13193864, 4.313 ,3059122,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Calgary,2015,18207232, 15.123 ,1203915,2016,This is the first year using this protocol. The inventory was completed to a BASIC level.
City of Cape Town,2015,21233880, 5.292 ,4012441,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Chicago,2015,30955862, 11.379 ,2720546,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Chicago,2015,32651379, 12.031 ,2714017,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cincinnati,2015,7318055, 24.512 ,298550,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Cincinnati,2015,7598473, 25.219 ,301301,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Cincinnati,2015,7600000, 25.435 ,298800,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cleveland,2015,7688447, 19.375 ,396815,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Columbia, MO",2015,2435589, 20.450 ,119098,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Columbia, MO",2015,3247578, 27.268 ,119098,2017,International Emissions Analysis Protocol (ICLEI)
"City of Columbia, SC",2015,1848635, 13.862 ,133358,2017,International Emissions Analysis Protocol (ICLEI)
City of Columbus,2015,10983600, 13.139 ,835957,2016,Basic Reporting.
City of Copenhagen,2015,1450358, 2.407 ,602504,2017,Other
City of Cupertino,2015,244943, 4.030 ,60777,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Dallas,2015,19527127, 14.518 ,1345047,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
"City of Denton, TX",2015,1604007, 12.240 ,131044,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Denver,2015,943176, 1.382 ,682545,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Durban,2015,22154154, 5.988 ,3700000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Durham,2015,4530469, 18.063 ,250815,2016,
City of Durham,2015,4681117, 18.664 ,250815,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Edmonton,2015,13357063, 14.958 ,893000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Espoo,2015,1233581, 4.494 ,274522,2017,Other
City of Fremont,2015,1438725, 6.123 ,234962,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Gibraltar,2015,263352, 7.855 ,33528,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Hayward,2015,1048704, 6.596 ,158985,2016,
City of Hayward,2015,1103977, 6.944 ,158985,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Iowa City,2015,1045993, 14.093 ,74220,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Knoxville,2015,4383703, 23.658 ,185291,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Knoxville,2015,4384810, 23.544 ,186239,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Lagos,2015,26443657, 1.259 ,21000000,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Lagos,2015,29333951, 1.182 ,24821418,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Lahti,2015,717200, 6.004 ,119452,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Lakewood,2015,1652223, 10.703 ,154368,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Lancaster,2015,885210, 5.498 ,161000,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
"City of Lancaster, PA",2015,365763, 6.096 ,60000,2016,
City of Long Beach,2015,3090177, 6.573 ,470130,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Medford,2015,410305, 7.144 ,57437,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Melbourne,2015,4372420, 31.710 ,137889,2016,"City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts. * Electricity, gas and water data was provided directly by the utility companies. * Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics. *The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012. *Water-borne emissions were included from a private study commissioned by the Port Authority in 2012."
City of Mississauga,2015,6600476, 9.147 ,721599,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of New Haven (CT),2015,1143288, 8.726 ,131014,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of North Vancouver,2015,187055, 3.536 ,52898,2017,Other: ICLEI Partners for Climate Protection
City of North Vancouver,2015,211975, 4.007 ,52898,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Oakland,2015,1745827, 4.167 ,419000,2017,Other: ICLEI Community Protocol
City of Oakland,2015,2462536, 5.863 ,420000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Palo Alto,2015,152631, 2.280 ,66955,2016,TCR/LGOP
City of Porto,2015,960656, 4.020 ,238954,2017,Other: Metodology developed for the specific purpose and context
City of Providence,2015,1685403, 9.439 ,178562,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Providence,2015,1704321, 9.545 ,178562,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Roanoke,2015,1971679, 20.024 ,98465,2016,ICLEI Clean Air and Climate Protection Software
City of San Francisco,2015,4981652, 5.760 ,864816,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of San Leandro, CA",2015,633905, 7.168 ,88441,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of San Leandro, CA",2015,671167, 7.412 ,90553,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
"City of Santa Barbara, CA",2015,516206, 5.519 ,93532,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Santa Monica,2015,1110480, 12.008 ,92478,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of St Louis,2015,7203267, 22.560 ,319294,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Stockholm,2015,1796590, 1.945 ,923516,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Sydney,2015,3556529, 17.320 ,205339,2016,"Traditionally the City of Sydney has calculated city-wide GHG emissions based on the CCAP reporting tool by Kinesis - a private consultancy commissioned by the City. Recently the City has also developed GPC BASIC inventories for the 2005/06, 2013/14 and 2014/15 years to be compliant with the Compact of Mayors. The GPC BASIC inventories show lower emissions compared with inventories based on the CCAP tool due to different methodologies and emissions sources. Future year’s reports may be subject to change as the City of Sydney will be updating its inventories in the short term for achieving beyond GPC BASIC compliance."
City of Sydney,2015,3783982, 17.939 ,210931,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Tempe, AZ",2015,3187651, 18.130 ,175826,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Turku,2015,840800, 4.496 ,187000,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Vancouver,2015,2499107, 3.958 ,631486,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Wroclaw,2015,4065219, 6.394 ,635759,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Yokohama,2015,20960501, 5.618 ,3731096,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ciudad de Mendoza,2015,61862524, 537.743 ,115041,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Comune di Milano,2015,5965718, 4.276 ,1395274,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Corporation of Chennai,2015,19317353, 2.542 ,7600000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
District of Columbia,2015,8026730, 11.784 ,681170,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Distrito Metropolitano de Quito,2015,5759189, 2.572 ,2239191,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Egedal Municipality,2015,188407, 4.375 ,43063,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Egedal Municipality,2015,213427, 5.082 ,42000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Elsinore Municipality,2015,294549, 4.779 ,61632,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Estância Turística de Guaratinguetá,2015,548196,#DIV/0!,,2016,
Gemeente Rotterdam,2015,31512000, 50.500 ,624000,2016,"For the city of Rotterdam, the GHG protocol is used and the governmental boundaries apply, hence including the port, we compute all scope 1 emissions. Industrial activities in the port area encompasses several energy production plants, therefore scope 2 emissions from the industry are not computed. We only monitor scope 2 emissions for the built environment. This number is filled in in C1.5 but is not used for the monitoring of the RCI target. An inventory was made on the emissions in 2009 and 2011 of other green house gases, but these numbers have limited accuracy. Therefore, these numbers are not included in C1.5. The most recent data that are now (April, 2016) available refer to the situation in 2014."
Gladsaxe Kommune,2015,331282, 4.919 ,67347,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Government of Hong Kong Special Administrative Region,2015,39841930, 5.390 ,7391700,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Greater London Authority,2015,33680515, 3.791 ,8883800,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Incheon Metropolitan City,2015,69794140, 23.394 ,2983484,2016,Calculation Korea Environment Corporation municipal greenhouse gas emissions guidelines ver.4.0 (2015. January)
Istanbul Metropolitan Municipality,2015,47862539, 3.233 ,14804116,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Los Altos Hills,2015,57243, 6.869 ,8334,2016,We also participated in the GPC community inventory pilot in 2015. We were the only city from the US in their initial pilot.
Metropolitan Municipality of Lima,2015,15789438, 1.665 ,9485405,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipalidad de Rio Grande,2015,810086, 9.129 ,88741,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipalidad de San Isidro (Lima),2015,318191, 5.870 ,54206,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Belo Horizonte,2015,4494883, 1.788 ,2513451,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Belo Horizonte,2015,5385703, 2.268 ,2375151,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Medellìn,2015,3414204," 1,385.454 ",2464,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Recife,2015,2329792, 1.433 ,1625583,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipio de Loja,2015,423878, 1.973 ,214855,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
New York City,2015,52042186, 6.096 ,8537673,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Pingtung County Government,2015,4682214, 5.642 ,829939,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Prefeitura de Londrina,2015,1279855, 2.526 ,506701,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura Niterói,2015,1729602, 3.474 ,497883,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Rajkot Municipal Corporation,2015,1887685, 1.467 ,1286995,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Regional Municipality of Durham,2015,6857858, 10.189 ,673070,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Roma Capitale,2015,16736522," 5,818.133 ",2877,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Salt Lake City,2015,4752386, 24.666 ,192672,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
Santa Fe County,2015,1789058, 11.944 ,149790,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Seoul Metropolitan Government,2015,45646000, 4.514 ,10112070,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Sofia Municipality,2015,5124843, 3.463 ,1479902,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Sonderborg Kommune,2015,1806679, 24.153 ,74801,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Stadt Heidelberg,2015,806000, 5.508 ,146333,2017,Other: IFEU
Stadt Heidelberg,2015,967417, 6.447 ,150054,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Suwon City,2015,5611628, 4.524 ,1240480,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Taichung City Government,2015,13668164, 4.970 ,2750000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Taipei City Government,2015,12114538, 4.494 ,2695704,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Tokyo Metropolitan Government,2015,61233101, 4.419 ,13857664,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"Town of Ajax, ON",2015,1234211, 11.261 ,109600,2017,International Emissions Analysis Protocol (ICLEI)
Town of Blacksburg,2015,347483, 7.859 ,44215,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
Village of Kadiovacik,2015,444, 2.055 ,216,2016,
Ville de Montreal,2015,10223546, 5.038 ,2029379,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ville de Nyon,2015,103807, 5.021 ,20675,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Wellington City Council,2015,1084979, 5.324 ,203800,2016,
"Arlington, VA",2016,2260001, 9.982 ,226400,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Auckland Council,2016,7551034, 4.677 ,1614400,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ayuntamiento de Madrid,2016,9443598, 2.932 ,3221000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Bærum Kommune,2016,232468, 1.849 ,125708,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Barreiro,2016,286477, 3.637 ,78764,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Boulder County,2016,3998878, 12.410 ,322226,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Adelaide,2016,537482, 22.474 ,23916,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Amsterdam,2016,4138000, 4.957 ,834713,2017,Other
City of Athens,2016,4391579, 6.613 ,664046,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Austin,2016,12527277, 9.895 ,1265974,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Benicia,2016,122688, 4.416 ,27780,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Bloomington,2016,1281983, 15.250 ,84067,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boston,2016,6116644, 9.091 ,672840,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boulder,2016,1598862, 14.708 ,108707,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Brownsville,2016,2165653, 11.777 ,183887,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Buenos Aires,2016,13100079, 4.282 ,3059122,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Calgary,2016,17679137, 14.314 ,1235055,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cape Town,2016,21509138, 5.152 ,4174510,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Charlottesville, VA",2016,343796, 7.145 ,48117,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Cleveland,2016,7846700, 19.774 ,396815,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Denizli,2016,5094537, 4.957 ,1027782,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Denver,2016,8238021, 11.882 ,693292,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Easton, PA",2016,350900, 13.037 ,26915,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Emeryville, CA",2016,160428, 13.376 ,11994,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Evanston, IL",2016,930563, 12.309 ,75603,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Fayetteville, AR",2016,1454781, 17.563 ,82830,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Flagstaff,2016,1424563, 20.746 ,68667,2017,Other: Excel
City of Fort Collins,2016,2042310, 12.685 ,161000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Gibraltar,2016,283328, 8.234 ,34408,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Guelph,2016,1060158, 8.044 ,131794,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Helsinki,2016,2789724, 4.386 ,636000,2017,Other
City of Indianapolis,2016,18687167, 21.414 ,872680,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Iowa City,2016,933127, 12.542 ,74398,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Lancaster, PA",2016,364181, 6.070 ,60000,2017,International Emissions Analysis Protocol (ICLEI)
"City of London, ON",2016,2911300, 7.585 ,383822,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Louisville, KY",2016,16000537, 20.749 ,771158,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Manhattan Beach, CA",2016,224717, 6.263 ,35881,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Memphis,2016,16061257, 24.625 ,652236,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Miami Beach, FL",2016,1199536, 13.050 ,91917,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Minneapolis,2016,4117293, 9.804 ,419952,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Ottawa,2016,6017000," 6,144.982 ",979,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Palo Alto,2016,153948, 2.316 ,66478,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
"City of Park City, UT",2016,15555, 1.976 ,7873,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Philadelphia,2016,14825395, 9.534 ,1555072,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Phoenix,2016,15447037, 9.565 ,1615017,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Phoenix,2016,15447378, 9.304 ,1660272,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
"City of Piedmont, CA",2016,37186, 3.268 ,11378,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Antonio,2016,14770253, 10.049 ,1469845,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Francisco,2016,5108064, 5.865 ,870887,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Somerville, MA",2016,612200, 7.700 ,79507,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of St Catharines, ON",2016,1041054, 7.923 ,131400,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of St. Petersburg,2016,2693166, 10.125 ,266000,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Stockholm,2016,1823388, 1.949 ,935619,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Sydney,2016,3717748, 15.941 ,233219,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Tacoma,2016,1074905, 4.970 ,216279,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Toronto,2016,18078458, 6.618 ,2731571,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Wroclaw,2016,4708212, 7.373 ,638600,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Communauté urbaine du Grand Nancy,2016,2150000, 8.113 ,265000,2016,http://www.citepa.org/fr/activites/inventaires-des-emissions/secten
Comune di Venezia,2016,3103390, 11.849 ,261905,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
District of Columbia,2016,7270052, 10.476 ,693972,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Gemeente Rotterdam,2016,34190633, 54.793 ,624000,2017,Other: We compute scope 1 emissions for city and port and also scope 2 for the built environment
Government of Hong Kong Special Administrative Region,2016,40222676, 5.398 ,7451000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
